ROW ID,TYPE,TYPE SORT RANK,WEIGHT CLASS,WEIGHT CLASS SORT RANK,CATEGORY,CAT SORT RANK,SUB CATEGORY,SUB CAT SORT RANK,PRODUCT PAGE ID,PRODUCT PAGE NAME,SUB DESCRIPTION,PART,FRAME,PART LEVEL DESCRIPTION,WIDTH,CAPACITY,TEETH / TINE QTY,EST WEIGHT (LBS.),CUTTING EDGE,Make 1,Make 2,Make 3,Make 4,Make 5,Make 6,Make 7,Make 8,Make 9,Make 10,Make 11,Make 12,Make 13,Make 14,Make 15,Make 16,Make 17,Make 18,Make 19,Make 20,Make 21,Make 22,Make 23,Make 24,Make 25,Make 26,Make 27,Make 28,Make 29,Make 30,Make 31
1,Rubber Tire,1,Rubber Tire,18,Buckets,1,Heavy Duty,1-A1,1,Rubber Tire Heavy Duty Buckets,Rubber Tire Heavy Duty Buckets,12111R2,111R2,HD Bucket,"12""",3.125 CU FT,3,385,1,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,Volvo,,,,,,,,,,,,,,,,,,,,,
2,Rubber Tire,1,Rubber Tire,18,Buckets,1,Heavy Duty,1-A1,1,Rubber Tire Heavy Duty Buckets,Rubber Tire Heavy Duty Buckets,1249R2,49R2,HD Bucket,"12""",3.950 CU FT,3,365,1,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,Volvo,,,,,,,,,,,,,,,,,,,,,
3,Rubber Tire,1,Rubber Tire,18,Buckets,1,Heavy Duty,1-A1,1,Rubber Tire Heavy Duty Buckets,Rubber Tire Heavy Duty Buckets,1255R2,55R2,HD Hi-Cap Bucket,"12""",5.125 CU FT,3,375,1,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,Volvo,,,,,,,,,,,,,,,,,,,,,
4,Rubber Tire,1,Rubber Tire,18,Buckets,1,Heavy Duty,1-A1,1,Rubber Tire Heavy Duty Buckets,Rubber Tire Heavy Duty Buckets,12580R2,580R2,HD Bucket,"12""",3.950 CU FT,3,340,1,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,Volvo,,,,,,,,,,,,,,,,,,,,,
5,Rubber Tire,1,Rubber Tire,18,Buckets,1,Heavy Duty,1-A1,1,Rubber Tire Heavy Duty Buckets,Rubber Tire Heavy Duty Buckets,12581R2,581R2,HD Hi-Cap Bucket,"12""",5.125 CU FT,3,350,1,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,Volvo,,,,,,,,,,,,,,,,,,,,,
6,Rubber Tire,1,Rubber Tire,18,Buckets,1,Heavy Duty,1-A1,1,Rubber Tire Heavy Duty Buckets,Rubber Tire Heavy Duty Buckets,16111R2,111R2,HD Bucket,"16""",4.625 CU FT,4,415,1,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,Volvo,,,,,,,,,,,,,,,,,,,,,
7,Rubber Tire,1,Rubber Tire,18,Buckets,1,Heavy Duty,1-A1,1,Rubber Tire Heavy Duty Buckets,Rubber Tire Heavy Duty Buckets,1633WR2,33WR2,HD Bucket,"16""",7.300 CU FT,3,675,1.25,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,Volvo,,,,,,,,,,,,,,,,,,,,,
8,Rubber Tire,1,Rubber Tire,18,Buckets,1,Heavy Duty,1-A1,1,Rubber Tire Heavy Duty Buckets,Rubber Tire Heavy Duty Buckets,1649R2,49R2,HD Bucket,"16""",4.900 CU FT,4,420,1,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,Volvo,,,,,,,,,,,,,,,,,,,,,
9,Rubber Tire,1,Rubber Tire,18,Buckets,1,Heavy Duty,1-A1,1,Rubber Tire Heavy Duty Buckets,Rubber Tire Heavy Duty Buckets,1655R2,55R2,HD Hi-Cap Bucket,"16""",6.500 CU FT,4,430,1,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,Volvo,,,,,,,,,,,,,,,,,,,,,
10,Rubber Tire,1,Rubber Tire,18,Buckets,1,Heavy Duty,1-A1,1,Rubber Tire Heavy Duty Buckets,Rubber Tire Heavy Duty Buckets,16580R2,580R2,HD Bucket,"16""",4.900 CU FT,4,395,1,Case,Caterpillar,Fermac,Ford,JCB,John Deere,Kobelco,New Holland,Terex,Volvo,,,,,,,,,,,,,,,,,,,,,
