ROW ID,TYPE,TYPE SORT RANK,WEIGHT CLASS,WEIGHT CLASS SORT RANK,CATEGORY,CAT SORT RANK,SUB CATEGORY,SUB CAT SORT RANK,PRODUCT PAGE ID,PRODUCT PAGE NAME,SUB DESCRIPTION,PART#,FRAME,PART LEVEL DESCRIPTION,WIDTH,CAPACITY,TEETH / TINE QTY,EST WEIGHT (LBS.),CUTTING EDGE,Make 1,Make 2,Make 3,Make 4,Make 5,Make 6,Make 7,Make 8,Make 9,Make 10,Make 11,Make 12,Make 13,Make 14,Make 15,Make 16,Make 17,Make 18,Make 19,Make 20,Make 21,Make 22,Make 23,Make 24,Make 25,Make 26,Make 27,Make 28,Make 29,Make 30,Make 31
1990,Wheel Loader,6,Wheel Loader,19,Forks,W4,Hyd Construction,Wlr-4-2,64,Wheel Loader Hydraulic Construction Forks,Wheel Loader Hydraulic Construction Forks,P700CF10672H - QC700CF10672H,,"Class 700 106"" HYD Construction Fork, Tines: 3.5"" X 8"" X 72""","106""",,"3.5"" x 8"" x 72""",3300,,Case,Caterpillar,Doosan,Dresser,Fiat Allis,Ford,Hitachi,Hyundai,JCB,John Deere,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,New Holland,Samsung,Sany,Terex,Vermeer,Volvo,Wacker-Neuson,Yanmar,,,,,,,,
1991,Wheel Loader,6,Wheel Loader,19,Forks,W4,Hyd Construction,Wlr-4-2,64,Wheel Loader Hydraulic Construction Forks,Wheel Loader Hydraulic Construction Forks,P700CF10684H - QC700CF10684H,,"Class 700 106"" HYD Construction Fork, Tines: 3.5"" X 8"" X 84""","106""",,"3.5"" x 8"" x 84""",3500,,Case,Caterpillar,Doosan,Dresser,Fiat Allis,Ford,Hitachi,Hyundai,JCB,John Deere,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,New Holland,Samsung,Sany,Terex,Vermeer,Volvo,Wacker-Neuson,Yanmar,,,,,,,,
1992,Wheel Loader,6,Wheel Loader,19,Forks,W4,Hyd Construction,Wlr-4-2,64,Wheel Loader Hydraulic Construction Forks,Wheel Loader Hydraulic Construction Forks,P700CF10696H - QC700CF10696H,,"Class 700 106"" HYD Construction Fork, Tines: 3.5"" X 8"" X 96""","106""",,"3.5"" x 8"" x 96""",3700,,Case,Caterpillar,Doosan,Dresser,Fiat Allis,Ford,Hitachi,Hyundai,JCB,John Deere,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,New Holland,Samsung,Sany,Terex,Vermeer,Volvo,Wacker-Neuson,Yanmar,,,,,,,,
1993,Wheel Loader,6,Wheel Loader,19,Forks,W4,ITA Style Pallet,Wlr-4-3,65,Wheel Loader ITA Style Pallet Forks,Wheel Loader ITA Style Pallet Forks,N/A - QC100UPF4848,,"Class 100 48"" Ita Style Pallet Fork, Tines: 1.75"" X 4"" X 48""","48""",,"1.75"" x 4"" x 48""",750,,Case,Caterpillar,Doosan,Dresser,Fiat Allis,Ford,Hitachi,Hyundai,JCB,John Deere,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,New Holland,Samsung,Sany,Terex,Vermeer,Volvo,Wacker-Neuson,Yanmar,,,,,,,,
1994,Wheel Loader,6,Wheel Loader,19,Forks,W4,ITA Style Pallet,Wlr-4-3,65,Wheel Loader ITA Style Pallet Forks,Wheel Loader ITA Style Pallet Forks,N/A - QC100UPF4860,,"Class 100 48"" Ita Style Pallet Fork, Tines: 1.75"" X 4"" X 48""","48""",,"1.75"" x 4"" x 48""",790,,Case,Caterpillar,Doosan,Dresser,Fiat Allis,Ford,Hitachi,Hyundai,JCB,John Deere,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,New Holland,Samsung,Sany,Terex,Vermeer,Volvo,Wacker-Neuson,Yanmar,,,,,,,,
1995,Wheel Loader,6,Wheel Loader,19,Forks,W4,ITA Style Pallet,Wlr-4-3,65,Wheel Loader ITA Style Pallet Forks,Wheel Loader ITA Style Pallet Forks,N/A - QC300UPF6048,,"Class 300 60"" Ita Style Pallet Fork, Tines: 2.00"" X 5"" X 48""","60""",,"2.00"" x 5"" x 48""",880,,Case,Caterpillar,Doosan,Dresser,Fiat Allis,Ford,Hitachi,Hyundai,JCB,John Deere,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,New Holland,Samsung,Sany,Terex,Vermeer,Volvo,Wacker-Neuson,Yanmar,,,,,,,,
1996,Wheel Loader,6,Wheel Loader,19,Forks,W4,ITA Style Pallet,Wlr-4-3,65,Wheel Loader ITA Style Pallet Forks,Wheel Loader ITA Style Pallet Forks,N/A - QC300UPF6060,,"Class 300 60"" Ita Style Pallet Fork, Tines: 2.00"" X 5"" X 60""","60""",,"2.00"" x 5"" x 60""",950,,Case,Caterpillar,Doosan,Dresser,Fiat Allis,Ford,Hitachi,Hyundai,JCB,John Deere,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,New Holland,Samsung,Sany,Terex,Vermeer,Volvo,Wacker-Neuson,Yanmar,,,,,,,,
1997,Wheel Loader,6,Wheel Loader,19,Forks,W4,ITA Style Pallet,Wlr-4-3,65,Wheel Loader ITA Style Pallet Forks,Wheel Loader ITA Style Pallet Forks,N/A - QC500UPF6060,,"Class 500 60"" Ita Style Pallet Fork, Tines: 2.50"" X 6"" X 60""","60""",,"2.50"" x 6"" x 60""",1250,,Case,Caterpillar,Doosan,Dresser,Fiat Allis,Ford,Hitachi,Hyundai,JCB,John Deere,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,New Holland,Samsung,Sany,Terex,Vermeer,Volvo,Wacker-Neuson,Yanmar,,,,,,,,
1998,Wheel Loader,6,Wheel Loader,19,Forks,W4,ITA Style Pallet,Wlr-4-3,65,Wheel Loader ITA Style Pallet Forks,Wheel Loader ITA Style Pallet Forks,N/A - QC500UPF9672,,"Class 500 96"" Ita Style Pallet Fork, Tines: 2.50"" X 6"" X 72""","96""",,"2.50"" x 6"" x 72""",1350,,Case,Caterpillar,Doosan,Dresser,Fiat Allis,Ford,Hitachi,Hyundai,JCB,John Deere,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,New Holland,Samsung,Sany,Terex,Vermeer,Volvo,Wacker-Neuson,Yanmar,,,,,,,,
1999,Wheel Loader,6,Wheel Loader,19,Forks,W4,ITA Style Pallet,Wlr-4-3,65,Wheel Loader ITA Style Pallet Forks,Wheel Loader ITA Style Pallet Forks,N/A - QC600UPF9672,,"Class 600 96"" Ita Style Pallet Fork, Tines: 3.00"" X 7"" X 72""","96""",,"3.00"" x 7"" x 72""",2500,,Case,Caterpillar,Doosan,Dresser,Fiat Allis,Ford,Hitachi,Hyundai,JCB,John Deere,Komatsu,Kubota,Link-Belt,Liugong,Mitsubishi,New Holland,Samsung,Sany,Terex,Vermeer,Volvo,Wacker-Neuson,Yanmar,,,,,,,,
