PRODUCT PAGE NAME,PAGE LEVEL DESCRIPTION
Bellhole Buckets,TAG Bellhole / Grave Buckets Offer A Solution For Straight Walled Holes Needed To Accommodate Burial Caskets And Vaults.
Coral Rock Buckets,"TAG Severe Duty Coral Rock Buckets Are Designed For The Peeling Of Coral Rock.
 - Additional Tooth Quantities For Increased Penetration
 - Weld On, Replaceable Wings For Increased Wear Protection And Peeling Operation
 - Full Side Wear Pads For Increase Service Life And Durability"
Deere/Hitachi Wedge Ditch Cleaning Buckets,"TAG Ditch Cleaning Buckets Offer A Durable And Reliable Solution For Ditch Cleaning And Shaping Applications.
 - Double Bottom Bucket Shells
 - Smooth, Unobstructed Openings
 - Internal Rib Reinforcements On Wide Widths
 - Double Radius And Dual Taper Profile
 - Double Beveled, Reversible Bolt On Edge"
Deere/Hitachi Wedge Heavy Duty Buckets,"TAG Heavy Duty Buckets Deliver Quicker Loading Times And Greater Yardage On Each Pass With Higher Strength And Reduced Failures Due To:
 - Double Bottom Bucket Shells
 - Smooth, Unobstructed Openings
 - Internal Triangle Reinforcements
 - Double Radius And Dual Taper Profile"
Dromone Hydraulic Multi Lock Pin Grabbing Coupler,"Dromone Multi-Lock Couplers Are Constructed From High Strength Steel And Quality Materials, Resulting In Consistent Quality, Durability, And Superior Product Performance. With The Ideal Balance Between Weight And Pick-Up Range, The Dromone Multi-Lock Quick Coupler Offers Efficiency And Superior Breakout Force Versus Its Competitors.
 – 2 To 120 Ton Machine Capacity
 – Efficient Coupler Weight & Pick-Up Range
 – Superior Breakout Force
 – Increased Attachment Size Flexibility
 – Higher Asset Utilization
 – Heavy Duty Certified Lifting Eye
 
 *Unlocking & Lock Procedure: All Controls Are Cab Mounted. Two Botton Operation, Hit Power On/Off Then Control Button. Curl Attachment In To Over-Relief Possition To Disengage Hydraulic Lock. Roll Attachment Out And Place On Ground. Reverse Operation Required For Attachment Re-Attachment.
 
 ***Always Visually Inspect And Check To Make Sure The Safety Pin Or Prop Lock Is Fully Closed And Lock Before Operating Machine. Read, Understand All Safety Precautions Found In The Operators Manual Before Attempting Any Operation***"
Dromone Mechanical Pin Grabbing Coupler - Screw Operated,"Dromone Mechanical Screw Operated Pin Grabbing Couplers Offer An Economical Solution For Larger Excavators.
 - Robust Straight Tread Mechanical Screw Moves Sliding Jaw From Unlock To Lock By Wrench Operation
 - Safety Pin And Screw Lock Ensures Safety During Operation
 - Low Profile Optimizes Digging Forces
 
 *Unlocking & Lock Procedure: Remove The Screw Lock And Pull Safety Pin. Use Supplied Wrench To Rotate Screw And Allow Jaw To Slide Forward, Disengaging The Coupler From The Attachment. Repeat In The Reverse Operation To Reattach Attachment.
 
 ***Always Visually Inspect And Check To Make Sure The Safety Pin Or Prop Lock Is Fully Closed And Lock Before Operating Machine. Read, Understand All Safety Precautions Found In The Operators Manual Before Attempting Any Operation***"
Dromone Mechanical Pin Grabbing Coupler - Spring/Lever Operated,"Dromone Mechanical Spring Latch Operated Pin Grabbing Couplers Offer An Economical Solution For Rubber Tire Backhoes And Compact Excavators.
 - Compact And Sturdy Spring Latch Offers Simple And Quick Change Out
 - Automatic Redundant Lock Pin Ensures Safety.
 - Low Profile Optimizes Digging Forces
 
 *Unlock Procedure: Insert Hand Lever In The Lock Mechanism. Holding The Saftey Pin In The Full Out Position; Bring The Hand Lever Down To The Fully Lock Possition. This Will Retract The Locking Lever And Prevent The Lock Lever From Re-Closing While Removing The Attachment. 
 **Re-Engage Proceure: Insert The Coupler Into The Attachment. The Safety Device Will Release The Locking Lever To Automatically Clamp Shut Once The Pressure From The Rear Pin Is Applied. The Safety Pin Will Close To Offer A Redundating Lock Device.
 
 ***Always Visually Inspect And Check To Make Sure The Safety Pin Or Prop Lock Is Fully Closed And Lock Before Operating Machine. Read, Understand All Safety Precautions Found In The Operators Manual Before Attempting Any Operation***"
Excavator Ditch Cleaning Buckets,"TAG Ditch Cleaning Buckets Offer A Durable And Reliable Solution For Ditch Cleaning And Shaping Applications.
 - Double Bottom Bucket Shells
 - Smooth, Unobstructed Openings
 - Internal Rib Reinforcements On Wide Widths
 - Double Radius And Dual Taper Profile
 - Double Beveled, Reversible Bolt On Edge"
Excavator Forks,"Dromone Excavator Forks Offer Compatibility For 65Mm And 80Mm Machines.
 - Notched Style Rail With Spring Lock
 - Tine Min/Max: 105Mm / 850Mm
 - Tines Size: 100Mm X 1200Mm
 - Requires Pin Grabbing Coupler, Cannot Be Direct Pinned."
Excavator Heavy Duty Buckets,"TAG Heavy Duty Buckets Deliver Quicker Loading Times And Greater Yardage On Each Pass With Higher Strength And Reduced Failures Due To:
 - Double Bottom Bucket Shells
 - Robust Two Piece Bucket Sides
 - Replaceable Corners
 - Smooth, Unobstructed Openings
 - Internal Triangle Reinforcements
 - Double Radius And Dual Taper Profile"
Excavator Severe Duty Buckets,"TAG Severe Duty Buckets Deliver Quicker Loading Times And Greater Yardage On Each Pass With Higher Strength And Reduced Failures. Severe Duty Buckets Have All The Attributes Of Our Heavy Duty Line Plus The Following Added Benefits:
 - Larger Triangles
 - Full Width Replaceable Transverse Wear Strips
 - Extended Bucket Ears
 - Full Side Wear Plates"
Grapples,"TAG Grapples Are Offered In A Hydraulic And Three (3) Possition Stiff Link Configuration. 
 - Large, Oversized, Box Style Tines With Replaceable Weld On Wear Pads
 - 2 Over 3 & 3 Over 4 Tine Variations Available
 - Pin On And Quick Coupler Hook Up Configurations Available"
Hi Cap Flat Bottom Buckets,"TAG Hi Cap Flat Bottom Buckets Provides A Hi Capacity Option With A Lighter Total Weight.
 - Improved Wear Life With Ar450 Plate In Key Areas
 - Extended Cutting Edge Provides Deeper Profile
 - Single Bottom Shell With Wear Straps Provide Weight Savings
 - Sidecutter Does Not Extend Below Cutting Edge, Unlike Standard TAG Tooth Buckets"
Main Pin Hydraulic Thumbs,"TAG Main Pin Hydraulic Thumbs Are Offered For Rubber Tire Backhoes As Well As Compact And Full Sized Excavators.
 - Custom Fit To Specific Coupler/Bucket Combinations
 - Fits Most Oem Cylinder Brackets
 - Average 120 Degree Rotation"
Mantis Buckets,TAG Mantis Buckets Offer Integrated Twin Cylinder Mantis Thumbs On A Severe Duty Bucket Provides Full Rotational Clamping Options In A Severe Duty Package. Mantis Thumb Buckets Offer Full Clearance Of Dipperstick And Boom Along With The Capability Of Clamping Uneven Loads. Requires No Welding. Includes Quick Coupler Mounting Pins. Pin Grabbing Quick Coupler Required For Use.
Mini Excavator Ditch Cleaning Buckets,"TAG Ditch Cleaning Buckets Offer A Durable And Reliable Solution For Ditch Cleaning And Shaping Applications.
 - Double Bottom Bucket Shells
 - Smooth, Unobstructed Openings
 - Internal Rib Reinforcements On Wide Widths
 - Double Radius And Dual Taper Profile
 - Double Beveled, Reversible Bolt On Edge"
Mini Excavator Heavy Duty Buckets,"TAG Heavy Duty Buckets Deliver Quicker Loading Times And Greater Yardage On Each Pass With Higher Strength And Reduced Failures Due To:
 - Double Bottom Bucket Shells
 - Smooth, Unobstructed Openings
 - Internal Triangle Reinforcements
 - Double Radius And Dual Taper Profile"
